2021 super output area - lower layer,mnemonic,Total: All usual residents aged 16 years and over in employment the week before the census,Less than 2km,2km to less than 5km,5km to less than 10km,10km to less than 20km,20km to less than 30km,30km to less than 40km,40km to less than 60km,60km and over
Leeds 051C,E01011330,705,62,99,148,38,14,3,7,6
Leeds 051D,E01011333,605,86,66,133,44,4,0,0,3
Leeds 052A,E01011327,617,77,75,135,51,10,2,2,0
Leeds 052B,E01011328,768,99,68,183,44,23,0,5,5
Leeds 052C,E01011335,919,118,83,225,53,16,4,4,10
Leeds 052D,E01011591,1028,41,106,204,90,13,6,2,11
Leeds 053A,E01011430,549,99,106,65,38,8,5,4,11
Leeds 053B,E01011432,569,122,101,53,43,8,8,0,17
Leeds 053C,E01011433,622,134,145,43,56,6,10,1,4
Leeds 053D,E01011434,605,121,144,62,49,11,16,2,4
Leeds 054A,E01011445,449,50,129,35,20,5,1,14,29
Leeds 054B,E01011446,581,77,140,57,41,7,6,5,41
Leeds 054C,E01011447,424,53,89,33,16,14,7,7,27
Leeds 054D,E01011448,444,85,79,32,19,10,0,3,25
Leeds 054E,E01011449,582,109,142,48,35,11,9,6,14
Leeds 055A,E01011670,699,165,150,51,30,12,5,5,29
Leeds 055B,E01011671,536,179,79,39,33,8,4,3,12
Leeds 055F,E01033002,920,239,71,55,49,16,7,3,18
Leeds 055G,E01033003,952,288,111,58,62,20,9,6,16
Leeds 055I,E01035042,445,83,69,34,27,8,7,1,31
Leeds 055J,E01035043,397,97,44,26,32,13,2,7,31
Leeds 056A,E01011478,1011,83,284,81,32,16,3,6,14
Leeds 056B,E01011479,859,93,213,54,49,22,8,8,16
Leeds 056C,E01011481,770,106,141,69,39,16,8,6,18
Leeds 056D,E01011482,1121,78,282,74,60,31,4,3,8
Leeds 056E,E01011483,657,137,105,67,24,17,3,4,16
Leeds 057A,E01011406,687,51,77,121,72,17,12,2,8
Leeds 057B,E01011407,714,62,67,153,60,16,4,4,7
Leeds 057C,E01011408,666,51,75,143,77,11,4,2,9
Leeds 057D,E01011409,732,56,73,127,49,21,4,3,8
Leeds 057E,E01011410,807,46,67,151,107,33,5,2,14
Leeds 057F,E01011412,894,58,69,168,104,33,4,2,7
Leeds 058A,E01011331,733,55,92,175,47,8,2,1,5
Leeds 058B,E01011334,770,76,108,208,41,17,2,3,7
Leeds 058C,E01011336,721,75,178,153,33,10,4,10,5
Leeds 058D,E01011337,666,114,114,198,48,13,3,3,6
Leeds 059A,E01011281,1068,64,233,162,59,25,4,6,6
Leeds 059B,E01011282,634,73,137,141,34,13,7,0,9
Leeds 059C,E01011283,598,81,138,116,25,9,4,0,5
Leeds 059D,E01011286,686,59,145,128,56,13,3,5,6
Leeds 059E,E01011295,809,73,200,140,44,15,6,4,20
Leeds 060A,E01011339,852,105,257,91,70,18,5,2,12
Leeds 060B,E01011340,621,117,170,53,48,8,4,3,9
